trials_3.thisTrialN,trials_3.stepSize,trials_3.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,orientation,trials_3.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,1,10.0,28.71645739302039,29.25552310049534,29.25552310049534,29.260375091806054,29.557684341445565,-10.0,1,0.6182695832103491,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
1,1,9.0,29.890847304835916,30.390672639012337,30.390672639012337,30.390672639012337,30.690091216936707,-9.0,1,0.6606486197561026,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
2,1,8.0,31.07320431433618,31.572967424988747,31.572967424988747,31.572967424988747,31.872436225414276,-8.0,1,0.7178045175969601,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
3,1,7.0,32.32205942645669,32.82185364887118,32.82185364887118,32.82185364887118,33.12136422842741,7.0,1,0.9005646370351315,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
4,1,6.0,33.7541328817606,34.253980880603194,34.253980880603194,34.253980880603194,34.55366834811866,6.0,1,1.1930867843329906,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
5,1,5.0,35.46923649869859,35.969165386632085,35.969165386632085,35.969165386632085,36.268608855083585,5.0,1,1.3354425299912691,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
6,1,4.0,37.33433673903346,37.83418473787606,37.83418473787606,37.83418473787606,38.133852649480104,-4.0,1,0.6207749135792255,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
7,1,3.0,38.48333469592035,38.983237363398075,38.983237363398075,38.983237363398075,39.28268438577652,3.0,1,0.9909471422433853,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
8,1,2.0,39.99893111176789,40.49855244718492,40.49855244718492,40.49855244718492,40.798072358593345,-2.0,1,1.3027883674949408,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
9,1,1.0,41.830491412431,42.330219857394695,42.330219857394695,42.330219857394695,42.62970643490553,1.0,1,2.0918087419122458,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
10,1,1.0,44.44494943134487,44.94482587464154,44.94482587464154,44.94482587464154,45.24409467726946,1.0,1,2.363799814134836,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
11,1,1.0,47.32566430978477,47.82563630864024,47.82563630864024,47.82563630864024,48.12494111061096,-1.0,1,2.2170889638364315,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
12,1,1.0,50.07317142561078,50.573034981265664,50.573034981265664,50.573034981265664,50.87257711403072,-1.0,1,0.9141517244279385,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
13,1,1.0,51.505294213071465,52.00512710213661,52.00512710213661,52.00512710213661,52.304634124040604,1.0,1,0.6975214425474405,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
14,1,1.0,52.72096982970834,53.22076671756804,53.22076671756804,53.22076671756804,53.5201528519392,-1.0,1,0.7718053106218576,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
